date_2,avg_temp,avg_rain,avg_wetb,avg_vappr,avg_rhum,avg_wdsp,avg_wddir,avg_dewpt,avg_msl,season,day,month,year,dd
2017-01-01,9.45,0.1,3.63,6.85,77.96,17.3,227.83,1.5,1023.38,Winter,1,1,2017,9.45
2017-01-02,7.05,-0.0,2.04,5.9,75.0,10.29,68.75,-0.5,1032.6,Winter,2,1,2017,7.05
2017-01-03,5.9,-0.0,1.6,6.13,83.62,6.5,333.33,0.05,1032.37,Winter,3,1,2017,5.9
2017-01-04,6.75,-0.0,3.23,6.96,83.96,5.08,225.83,1.77,1030.58,Winter,4,1,2017,6.75
2017-01-05,13.299999999999999,0.4,6.97,8.88,79.75,13.67,161.67,5.15,1029.98,Winter,5,1,2017,13.299999999999999
2017-01-06,15.85,0.59,10.56,12.75,98.96,13.0,208.75,10.55,1029.98,Winter,6,1,2017,15.85
2017-01-07,15.1,0.17,10.04,12.2,97.5,3.62,233.75,9.87,1032.47,Winter,7,1,2017,15.1
2017-01-08,14.35,0.04,9.0,11.25,95.46,6.92,222.5,8.67,1031.57,Winter,8,1,2017,14.35
2017-01-09,13.649999999999999,0.1,7.32,9.34,83.25,16.21,250.0,5.84,1018.14,Winter,9,1,2017,13.649999999999999
2017-01-10,16.400000000000002,-0.0,8.79,10.25,81.25,14.46,274.17,7.21,1015.42,Winter,10,1,2017,16.400000000000002
2017-01-11,15.15,0.0,6.54,8.03,70.46,19.71,285.83,3.64,1017.82,Winter,11,1,2017,15.15
2017-01-12,7.3999999999999995,0.09,3.17,6.95,84.5,15.17,282.92,1.74,1009.84,Winter,12,1,2017,7.3999999999999995
2017-01-13,6.4,0.01,2.47,6.37,80.04,16.38,292.5,0.55,1021.64,Winter,13,1,2017,6.4
2017-01-14,10.6,0.01,5.11,7.98,83.79,12.5,283.33,3.69,1027.5,Winter,14,1,2017,10.6
2017-01-15,13.9,-0.0,7.58,9.55,84.04,10.79,281.67,6.25,1029.14,Winter,15,1,2017,13.9
2017-01-16,14.65,-0.0,8.74,10.72,90.5,5.42,298.75,7.99,1031.11,Winter,16,1,2017,14.65
2017-01-17,13.45,0.01,8.49,10.79,94.33,4.08,199.17,8.08,1033.31,Winter,17,1,2017,13.45
